day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08,PRCP_lag1d,PRCP_lag2d,PRCP_lag3d,TMAX_lag1d,TMAX_lag2d,TMAX_lag3d,TMIN_lag1d,TMIN_lag2d,TMIN_lag3d,WSF2_lag1d,WSF2_lag2d,PRCP_3d_sum,PRCP_7d_sum,PRCP_14d_sum,PRCP_3d_max,PRCP_7d_max,TMAX_3d_mean,TMAX_7d_mean,TMAX_7d_max,TMAX_14d_max,TMIN_3d_mean,TMIN_7d_mean,TMIN_7d_min,TMIN_14d_min,WSF2_3d_max,WSF2_7d_max,WSF2_7d_mean,heavy_rain,extreme_rain,heat_wave,extreme_heat,freezing,extreme_cold,high_winds,damaging_winds,consecutive_heat_days,consecutive_freeze_days,consecutive_rain_days,temp_range_daily,temp_volatility_3d,temp_change_1d,heating_degree_days,cooling_degree_days,freeze_thaw_cycle,light_rain,moderate_rain,days_since_rain,wet_period_indicator,precip_volatility_7d,moderate_winds,strong_winds,sustained_winds_3d,wind_acceleration_1d,rapid_wind_increase,month,day_of_year,season,winter_freeze,summer_heat,spring_storms,ice_storm_risk,wet_windy_combo,heat_demand_stress,multiple_extremes,thermal_stress_index,mechanical_stress_index,weather_severity_score,county_name,state,year,county_fips
2019-01-01,3.0,22.799999999999997,16.925,5.4,7.6,9.8,1.0,1.0,,,,1.0,,,,,,,,,,,,22.799999999999997,22.799999999999997,22.799999999999997,22.799999999999997,22.799999999999997,16.925,16.925,16.925,16.925,5.4,5.4,5.4,5.4,7.6,7.6,7.6,0,0,0,0,0,0,0,0,0,0,1,11.525,,,1.375,0.0,0,0,1,0,0,,0,0,0,,0,1,1,winter,0,0,0,0,0,0,0,,,0,Harris County,TX,2019,48201
2019-01-02,4.533333333333333,109.79999999999998,14.575,9.875,10.7,14.8,1.0,,1.0,,,,22.799999999999997,,,16.925,,,5.4,,,7.6,,132.59999999999997,132.59999999999997,132.59999999999997,109.79999999999998,109.79999999999998,15.75,15.75,16.925,16.925,7.6375,7.6375,5.4,5.4,10.7,10.7,9.149999999999999,1,1,0,0,0,0,0,0,0,0,2,4.699999999999999,,2.3500000000000014,3.7250000000000014,0.0,0,0,0,0,1,,1,0,0,3.0999999999999996,0,1,2,winter,0,0,0,0,0,0,1,,6.68,3,Harris County,TX,2019,48201
2019-01-03,3.8,2135.1,13.175,5.4,10.3,13.4,1.0,,1.0,,,,109.79999999999998,22.799999999999997,,14.575,16.925,,9.875,5.4,,10.7,7.6,2267.7,2267.7,2267.7,2135.1,2135.1,14.891666666666666,14.891666666666666,16.925,16.925,6.891666666666667,6.891666666666667,5.4,5.4,10.7,10.7,9.533333333333333,1,1,0,0,0,0,0,0,0,0,3,7.775,1.8949494276453223,1.3999999999999986,5.125,0.0,0,0,0,0,1,,1,0,0,-0.3999999999999986,0,1,3,winter,0,0,0,0,0,0,1,3.6029797710581293,6.0699999999999985,3,Harris County,TX,2019,48201
2019-01-04,2.533333333333333,193.7,15.575,2.35,9.8,11.2,1.0,,,,,,2135.1,109.79999999999998,22.799999999999997,13.175,14.575,16.925,5.4,9.875,5.4,10.3,10.7,2438.5999999999995,2461.3999999999996,2461.3999999999996,2135.1,2135.1,14.441666666666668,15.0625,16.925,16.925,5.875,5.7562500000000005,2.35,2.35,10.7,10.7,9.6,1,1,0,0,0,0,0,0,0,0,4,13.225,1.2055427546683417,2.3999999999999986,2.7250000000000014,0.0,0,0,0,0,1,,1,0,0,-0.5,0,1,4,winter,0,0,0,0,0,0,1,4.7222171018673365,6.3,3,Harris County,TX,2019,48201
2019-01-05,1.3666666666666665,0.0,20.425,3.2,5.4,6.7,1.0,,,,,,193.7,2135.1,109.79999999999998,15.575,13.175,14.575,2.35,5.4,9.875,9.8,10.3,2328.7999999999997,2461.3999999999996,2461.3999999999996,2135.1,2135.1,16.391666666666666,16.134999999999998,20.425,20.425,3.6500000000000004,5.245,2.35,2.35,10.3,10.7,8.76,0,0,0,0,0,0,0,0,0,0,0,17.225,3.6933498796259934,4.850000000000001,0.0,2.125,0,0,0,0,1,,0,0,0,-4.4,0,1,5,winter,0,0,0,0,0,0,0,7.069839951850398,6.67,0,Harris County,TX,2019,48201
2019-01-06,2.5,0.0,22.35,6.55,7.2,9.8,1.0,1.0,,,,,0.0,193.7,2135.1,20.425,15.575,13.175,3.2,2.35,5.4,5.4,9.8,193.7,2461.3999999999996,2461.3999999999996,193.7,2135.1,19.450000000000003,17.170833333333334,22.35,22.35,4.033333333333333,5.4624999999999995,2.35,2.35,9.8,10.7,8.5,0,0,0,0,0,0,0,0,0,0,0,15.8,3.4911495241539026,1.9250000000000007,0.0,4.050000000000001,0,0,0,0,1,,0,0,0,1.7999999999999998,0,1,6,winter,0,0,0,0,0,0,0,6.946459809661562,5.89,0,Harris County,TX,2019,48201
2019-01-07,2.966666666666667,0.0,22.925,13.875,7.6,10.7,,,,,,,0.0,0.0,193.7,22.35,20.425,15.575,6.55,3.2,2.35,7.2,5.4,0.0,2461.3999999999996,2461.3999999999996,0.0,2135.1,21.900000000000002,17.992857142857144,22.925,22.925,7.875,6.664285714285714,2.35,2.35,7.6,10.7,8.371428571428572,0,0,0,0,0,0,0,0,0,0,0,9.05,1.309341437517358,0.5749999999999993,0.0,4.625,0,0,0,0,1,789.8574781024015,0,0,0,0.39999999999999947,0,1,7,winter,0,0,0,0,0,0,0,4.1637365750069435,5.47,0,Harris County,TX,2019,48201
2019-01-08,1.7666666666666668,0.0,24.725,12.925,6.7,8.1,1.0,1.0,,,,,0.0,0.0,0.0,22.925,22.35,20.425,13.875,6.55,3.2,7.6,7.2,0.0,2438.5999999999995,2461.3999999999996,0.0,2135.1,23.333333333333332,19.107142857142858,24.725,24.725,11.116666666666667,7.739285714285715,2.35,2.35,7.6,10.7,8.242857142857144,0,0,0,0,0,0,0,0,0,0,0,11.8,1.2390352429746974,1.8000000000000007,0.0,6.425000000000001,0,0,0,0,1,791.4848044746567,0,0,0,-0.8999999999999995,0,1,8,winter,0,0,0,0,0,0,0,5.320614097189879,5.619999999999999,0,Harris County,TX,2019,48201
2019-01-09,4.3,0.0,19.725,8.35,10.3,13.0,,,,,,1.0,0.0,0.0,0.0,24.725,22.925,22.35,12.925,13.875,6.55,6.7,7.6,0.0,2328.7999999999997,2461.3999999999996,0.0,2135.1,22.458333333333332,19.842857142857145,24.725,24.725,11.716666666666667,7.521428571428572,2.35,2.35,10.3,10.3,8.185714285714287,0,0,0,0,0,0,0,0,0,0,0,11.375000000000002,2.5324559884296822,5.0,0.0,1.4250000000000007,0,0,0,0,1,798.0615273452112,1,0,0,3.6000000000000005,0,1,9,winter,0,0,0,0,0,0,0,4.710482395371874,6.23,0,Harris County,TX,2019,48201
2019-01-10,1.7,0.0,16.675,4.7,5.4,6.7,,,,,,,0.0,0.0,0.0,19.725,24.725,22.925,8.35,12.925,13.875,10.3,6.7,0.0,193.7,2461.3999999999996,0.0,193.7,20.375,20.342857142857145,24.725,24.725,8.658333333333333,7.421428571428571,2.35,2.35,10.3,10.3,7.485714285714286,0,0,0,0,0,0,0,0,0,0,0,11.975000000000001,4.064172732549641,3.0500000000000007,1.625,0.0,0,0,0,0,1,73.2117184218865,0,0,0,-4.9,0,1,10,winter,0,0,0,0,0,0,0,5.380669093019856,6.62,0,Harris County,TX,2019,48201
