feature,selected_by_n_methods
PRCP_lag2d,6
heating_degree_days,6
state_TX,6
county_name_encoded,6
temp_volatility_3d,6
month,6
state_NY,6
PRCP_lag3d,6
TMAX,6
season_summer,6
heavy_rain,6
AWND,6
WSF2_3d_max,6
state_WA,6
state_IL,6
state_MA,6
climate_zone_humid_subtropical,6
year,6
outage_risk_profile_encoded,6
climate_zone_mediterranean,6
WSF2,6
WSF2_lag1d,6
climate_zone_tropical,6
consecutive_rain_days,6
snapshots_count,6
mechanical_stress_index,6
season_winter,6
state_GA,6
PRCP_14d_sum,6
fips_code,6
WSF2_7d_mean,6
wet_period_indicator,6
season_spring,6
TMIN,6
WSF2_7d_max,6
state_VA,6
PRCP_3d_sum,6
thermal_stress_index,6
customers_total,6
temp_change_1d,6
PRCP,6
state_FL,6
day_of_week,6
moderate_winds,6
WSF2_lag2d,6
cooling_degree_days,6
PRCP_7d_sum,6
wind_acceleration_1d,6
WT01,5
PRCP_lag1d,5
temp_range_daily,5
