feature,importance_mean,importance_std
PRCP_7d_sum,3.656360321755564e-06,3.833270773112409e-07
PRCP_14d_sum,2.2382987464739794e-06,2.2085193508614497e-07
PRCP_3d_sum,1.993838849369614e-06,2.664087590932624e-07
mechanical_stress_index,1.966445878325354e-06,2.6063576526541897e-07
WSF2_7d_max,1.8909210396229198e-06,2.1521309422213715e-07
WSF2_3d_max,1.763210377716748e-06,2.94884439884029e-07
PRCP,1.6530867906938e-06,2.632827663145474e-07
PRCP_lag1d,1.5385795414261937e-06,2.4424568827383665e-07
consecutive_rain_days,1.072542927333872e-06,3.4725910881613726e-07
heavy_rain,9.98823999447465e-07,1.5635706768098834e-07
snapshots_count,7.36703237351477e-07,2.76843577346783e-07
PRCP_lag2d,6.266565576396044e-07,1.1874692833356323e-07
WSF2_7d_mean,5.474637474828236e-07,9.647550382117567e-08
WSF2_lag1d,5.293726782606284e-07,1.5627408264801543e-07
climate_zone_humid_subtropical,4.5292139524734377e-07,1.7209956025296706e-07
state_TX,3.55570388929638e-07,6.158978759979556e-08
WSF2,3.3299630068893414e-07,1.5001655123677763e-07
state_IL,2.551556227119861e-07,1.4550199197900428e-07
wet_period_indicator,2.2101068906064947e-07,5.019560946667047e-08
temp_change_1d,2.1369401158564948e-07,1.0818963440620692e-07
state_VA,2.0628602717398524e-07,1.377868454009306e-07
state_MA,2.034396146457368e-07,9.523525842176186e-08
season_spring,1.9302159353674908e-07,1.5871959699689541e-07
WT01,1.7491410982672928e-07,9.974774707563444e-08
climate_zone_tropical,1.5233295130694102e-07,8.410872451796713e-08
state_NY,1.485116151132837e-07,7.821093554181116e-08
temp_volatility_3d,1.0171742354687929e-07,9.551536341195814e-08
month,8.828861769796803e-08,7.192108536802731e-08
temp_range_daily,8.546114505479652e-08,4.237488169072974e-08
AWND,1.8367391238505172e-08,1.4122484829986562e-07
day_of_week,1.604205023507388e-08,5.092172129946916e-08
WSF2_lag2d,9.681612673714812e-09,2.5800340351485804e-09
county_name_encoded,3.474476839224194e-09,1.975277153820949e-08
state_WA,0.0,0.0
year,0.0,0.0
moderate_winds,-1.2927457156836075e-08,4.159765874078564e-08
thermal_stress_index,-1.4697577109881732e-08,1.8388049949055162e-08
wind_acceleration_1d,-1.7776924178883323e-08,1.3532519248466047e-08
state_FL,-4.231937823194476e-08,4.025343542877142e-08
climate_zone_mediterranean,-5.682680155223718e-08,7.938975828373459e-08
season_winter,-6.550154466218594e-08,3.890945918807701e-08
heating_degree_days,-6.939771697161978e-08,9.866952391613298e-08
PRCP_lag3d,-1.0881751266629547e-07,2.6037400525690937e-08
state_GA,-1.7012994601196817e-07,1.8705834454158038e-07
season_summer,-2.1124271345172863e-07,7.310069020393921e-08
cooling_degree_days,-2.391694435749381e-07,5.819144280628753e-08
fips_code,-3.0231788502553537e-07,7.551424542871614e-08
TMAX,-3.09252478873992e-07,1.3813182206240105e-07
TMIN,-4.0369186552688395e-07,1.06286676106692e-07
customers_total,-6.207296934165885e-07,1.9303302274676201e-07
outage_risk_profile_encoded,-8.527726102325329e-07,1.624453694895634e-07
