lag,pct_out_max,minutes_out,PRCP,WSF2,AWND
-7,0.003473595268301793,1029.3504832291073,-0.32441252289531264,-1.1934575358194572,-0.947497584579907
-6,0.003401156937319332,1029.8622550411815,-0.32944799793068025,-1.1994988855377275,-0.9610549290092296
-5,0.0034275519973657066,1027.4084586999716,-0.33917219421726663,-1.186346481191236,-0.9578714135140153
-4,0.0034670765552182615,1029.8440158820192,-0.32127672745091307,-1.1922439129486853,-0.9473223770561606
-3,0.003460443476018416,1027.8061224489795,-0.33599196538642,-1.1985415082518864,-0.9569596942617351
-2,0.003531611363602195,1025.485835694051,-0.33140128599188046,-1.1854554516481912,-0.9351726364315142
-1,0.0037681606866558754,1032.1665250637213,-0.2722928936959547,-1.0024496798188787,-0.7491915884369175
0,0.005201757583243507,1047.8522920203736,-0.15817615643414631,-0.7513648798998075,-0.36067835289088324
1,0.0046422809981887065,1045.4545454545455,-0.24215628098287725,-1.0423257578484004,-0.739327522273835
2,0.004173280553861872,1037.2272598469822,-0.33331799851183863,-1.1957957640469417,-0.932805280370453
3,0.00402245247286164,1037.3384353741496,-0.3242936603962341,-1.1977377440049943,-0.9494839804532731
4,0.004018183788912738,1038.0510638297872,-0.31998980908436386,-1.193625192245451,-0.9482523861491877
5,0.0039316739306611784,1036.3241555492477,-0.3243314661826324,-1.1901941039229247,-0.9509559297104271
6,0.003709984341483634,1032.9764271513775,-0.3156903521192413,-1.20272033428869,-0.9581995138283941
7,0.0035550484789713863,1029.2524161455372,-0.3162870658341782,-1.1896177311288996,-0.9465653850575318
