lag,pct_out_max,minutes_out,PRCP,WSF2,AWND
-7,0.00376692683721636,1051.8997472620051,-0.2769928160357884,-1.1773737271655995,-0.9967657261784861
-6,0.0036874319492358107,1053.82889200561,-0.2802740501782752,-1.1842475912369042,-1.013656013407644
-5,0.003694319741417917,1045.9893497757848,-0.27043796579620566,-1.1654269104381887,-1.007828258067877
-4,0.0036036699057389486,1051.1978145138694,-0.25279535373083994,-1.1715527328165734,-1.006631208737744
-3,0.003939402106545636,1052.246640537514,-0.2746881038212248,-1.1722090825559401,-1.0086494927493246
-2,0.003946792152938088,1047.9152684563758,-0.26574423083808024,-1.1658658448074342,-1.0122526646575292
-1,0.00404847092035185,1052.1835708298408,-0.20675526750127987,-1.0395687594298537,-0.9238741313727726
0,0.006459089122254541,1073.3417085427136,-0.017369835788955713,-0.5421310957653512,-0.6756764732602778
1,0.00564644875557068,1072.4056999161778,-0.0369856136192223,-1.007162378069057,-0.8733919936675776
2,0.004545239799330131,1060.0950251537172,-0.2561206564358795,-1.176283633712634,-1.011265389393995
3,0.004229024764367802,1058.483916083916,-0.26171751912853697,-1.1745771138590622,-0.9999769485178632
4,0.004052352804414132,1059.2343225083987,-0.2531345010748337,-1.1753932601521642,-1.0072711127646332
5,0.003860002212073376,1058.0252100840337,-0.25022257062663267,-1.1624479733667266,-0.9969229191820209
6,0.0037947528931186665,1055.7737594617327,-0.2565202616921468,-1.1661029994306162,-1.0118192401673418
7,0.0037115229943034934,1051.494527083918,-0.2619108399619331,-1.1649280107474949,-0.9959615826178648
