lag,pct_out_max,minutes_out,PRCP,WSF2,AWND
-7,0.001609530102962389,955.8653846153846,-0.03518905422632078,-0.1119317396211423,-0.04848119008198758
-6,0.0015666936167649085,955.1785714285714,-0.04730261861964468,-0.138084991654629,-0.06483245950189709
-5,0.0015165376594180001,965.0,-0.06806118278997295,-0.16282856485510505,-0.08451677642617028
-4,0.0015546093856064304,970.546875,-0.07353053996736317,-0.1770134581122745,-0.09828761459203288
-3,0.0015044694924116419,970.7352941176471,-0.05486843416564937,-0.1982363802489603,-0.1156644242042302
-2,0.0014729699999134474,975.625,-0.05180005839817105,-0.21912091521307633,-0.14452979993245585
-1,0.0015204385047721202,976.8421052631579,-0.03286902310877898,-0.18272807547289496,-0.11351591660200837
0,0.0015770554722747065,981.3125,0.011861135722004944,-0.1419245116340132,-0.07458519227551012
1,0.0016341521932550186,993.3125,-0.010790265883948474,-0.12725272272728413,-0.05671851400191535
2,0.0016481483195647927,993.5625,-0.02390010500375848,-0.09284543015840627,-0.02588716194030628
3,0.0016666788817547228,999.1875,-0.016320402245051425,-0.06538451552324524,0.0123784183465894
4,0.0016640641264493348,1004.125,0.019214647594489927,-0.03675505132914119,0.0362464627811919
5,0.0016698626823788488,1010.8125,0.02527564011713448,-0.030522787014778396,0.04596637878837427
6,0.0014303098929022797,1011.75,0.009179158071086069,-0.05415345587340395,0.02319277351423443
7,0.0014129209058726141,1014.8125,0.028594645161903288,-0.04805103039892373,0.016303713821277235
