fips_code,run_start_time_day,any_out,num_out_per_day,minutes_out,customers_out,customers_out_mean,cust_minute_area,customers_total,pct_out_max,pct_out_area
06073,2020-12-31,1,1,480,1122,55.5625,26670,1362929,0.0008232270353041134,1.3588993508343673e-05
06073,2021-01-01,1,1,1440,734,133.5,192240,1362929,0.0005385460284431544,9.795081035035574e-05
06073,2021-01-02,1,4,990,58,36.04615384615385,35145,1362929,4.255540824210212e-05,1.790720573118629e-05
06073,2021-01-03,1,2,660,463,45.77272727272727,30210,1362929,0.0003397095520016083,1.539270693239829e-05
06073,2021-01-04,1,3,825,2664,501.92727272727274,414090,1362929,0.001954613923395863,0.0002109886134934395
06073,2021-01-05,1,2,1230,3635,542.8170731707318,667665,1362929,0.0026670501544834692,0.00034019105177158896
06073,2021-01-06,1,4,1080,783,301.0,325080,1362929,0.0005744980112683786,0.00016563592087335437
06073,2021-01-07,1,2,1260,7567,410.8809523809524,517710,1362929,0.005552013347723909,0.0002637854454144958
06073,2021-01-08,1,3,1245,841,193.5679012345679,235185,1362929,0.0006170534195104807,0.00011983229989725559
06073,2021-01-09,1,2,1410,5317,1005.1808510638298,1417305,1362929,0.0039011569935044304,0.0007221502978756292
06073,2021-01-10,1,3,1335,2596,887.1797752808989,1184385,1362929,0.0019047213758016741,0.0006034720688556289
06073,2021-01-11,1,2,1290,4090,1026.2325581395348,1323840,1362929,0.0030008899950034083,0.0006745276777684922
06073,2021-01-12,1,3,1275,5546,706.0117647058823,900165,1362929,0.004069177484667213,0.0004586552808938201
06073,2021-01-13,1,1,1380,800,351.7303370786517,469560,1362929,0.0005869711481669258,0.0002392518857059563
06073,2021-01-14,1,1,1440,1740,367.1770833333333,528735,1362929,0.0012766622472630636,0.00026940294273093706
06073,2021-01-15,1,1,1440,1377,287.5625,414090,1362929,0.001010324088782321,0.0002109886134934395
06073,2021-01-16,1,1,1440,2475,409.1979166666667,589245,1362929,0.0018159419896414267,0.0003002342137166842
06073,2021-01-17,1,1,1440,1482,186.3684210526316,265575,1362929,0.0010873640519792301,0.00013531672107155497
06073,2021-01-18,1,2,1380,1065,102.31521739130434,141195,1362929,0.0007814053409972199,7.194217991790719e-05
06073,2021-01-19,1,1,1440,3689,1365.7291666666667,1966650,1362929,0.0027066707069847364,0.00100205452130424
06073,2021-01-20,1,1,1440,3413,1297.2916666666667,1868100,1362929,0.002504165660867147,0.0009518409738633976
06073,2021-01-21,1,1,1440,1237,457.15625,658305,1362929,0.000907604137853109,0.00033542191119273273
06073,2021-01-22,1,2,1365,1237,256.0879120879121,349560,1362929,0.000907604137853109,0.00017810905777190155
06073,2021-01-23,1,1,1425,1455,135.65263157894736,193305,1362929,0.0010675537757285963,9.849345294827048e-05
06073,2021-01-24,1,1,1440,1064,136.30208333333334,196275,1362929,0.0007806716270620113,0.00010000673793963833
06073,2021-01-25,1,1,1440,8011,1370.0,1972800,1362929,0.005877782334956553,0.0010051880912358604
06073,2021-01-26,1,1,1440,2392,586.0729166666666,843945,1362929,0.001755043733019108,0.0004300098660067154
06073,2021-01-27,1,1,1440,880,270.28125,389205,1362929,0.0006456682629836183,0.00019830911955061488
06073,2021-01-28,1,1,1440,3567,697.625,1004580,1362929,0.0026171576068892803,0.0005118571840499395
06073,2021-01-29,1,4,780,796,216.30769230769232,168720,1362929,0.0005840362924260912,8.596681607528101e-05
06073,2021-01-30,1,1,1440,2183,589.8541666666666,849390,1362929,0.0016016975205604988,0.0004327842218242232
06073,2021-01-31,1,4,960,665,72.375,69480,1362929,0.00048791976691375707,3.540169737381771e-05
06073,2021-02-01,1,2,705,1598,825.1063829787234,581700,1362929,0.0011724748684634344,0.0002963898584103305
06073,2021-02-02,1,2,1230,2967,778.4512195121952,957495,1362929,0.002176929245764086,0.0004878662669393148
06073,2021-02-03,1,2,1215,665,291.8395061728395,354585,1362929,0.00048791976691375707,0.00018066941369164008
06073,2021-02-04,1,1,1440,1361,315.4375,454230,1362929,0.0009985846658189825,0.0002314408894373808
06073,2021-02-05,1,1,1440,1356,529.8645833333334,763005,1362929,0.0009949160961429393,0.0003887690285651955
06073,2021-02-06,1,2,1365,2821,251.27472527472528,342990,1362929,0.002069807011223622,0.00017476148794251205
06073,2021-02-07,1,3,810,345,130.85185185185185,105990,1362929,0.00025313130764698674,5.4004402772753877e-05
06073,2021-02-08,1,2,1230,927,300.4756097560976,369585,1362929,0.0006801528179384253,0.00018831226718339693
06073,2021-02-09,1,3,1275,2302,314.11764705882354,400500,1362929,0.001689009478850329,0.0002040641882299078
06073,2021-02-10,1,1,1440,3816,990.9479166666666,1426965,1362929,0.002799852376756236,0.0007270722955243206
06073,2021-02-11,1,2,1335,1757,272.24719101123594,363450,1362929,0.0012891353841616108,0.00018518634010526838
06073,2021-02-12,1,1,1440,3689,253.45833333333334,364980,1362929,0.0027066707069847364,0.00018596591116142757
06073,2021-02-13,1,2,1410,1730,582.9042553191489,821895,1362929,0.001269325107910977,0.00041877487137383286
06073,2021-02-14,1,1,1440,855,257.3333333333333,370560,1362929,0.0006273254146034019,0.00018880905266036114
06073,2021-02-15,1,1,1170,386,34.88461538461539,40815,1362929,0.0002832135789905417,2.079620435107038e-05
06073,2021-02-16,1,1,1335,4129,701.876404494382,937005,1362929,0.0030295048384765457,0.00047742612906957494
06073,2021-02-17,1,3,1200,3376,449.2625,539115,1362929,0.002477018245264427,0.0002746917973472328
06073,2021-02-18,1,1,1425,1392,327.2,466260,1362929,0.0010213297978104508,0.0002375704579377698
06073,2021-02-19,1,1,1425,768,147.77894736842106,210585,1362929,0.0005634923022402487,0.00010729802017077437
06073,2021-02-20,1,1,1440,4147,731.2916666666666,1053060,1362929,0.0030427116893103016,0.0005365588865352977
06073,2021-02-21,1,3,1335,6371,599.2696629213483,800025,1362929,0.004674491481214355,0.0004076315909828514
06073,2021-02-22,1,2,1335,4539,863.6067415730337,1152915,1362929,0.003330327551912095,0.0005874373622299229
06073,2021-02-23,1,1,1425,5857,461.46315789473687,657585,1362929,0.004297362518517106,0.00033505505422512836
06073,2021-02-24,1,3,1290,2803,474.54651162790697,612165,1362929,0.0020566001603898663,0.00031191249385208864
06073,2021-02-25,1,2,1410,2784,385.5531914893617,543630,1362929,0.0020426595956209016,0.0002769922962482516
06073,2021-02-26,1,1,1440,1520,408.75,588600,1362929,0.001115245181517159,0.00029990557101653863
06073,2021-02-27,1,1,1440,1687,223.47368421052633,318450,1362929,0.0012377754086970048,0.00016225777962999784
