day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08,county_fips,county_name,state,climate_zone,outage_risk_profile,year,WT06,WT11
2019-01-01,3.988888888888889,519.0,9.86842105263158,1.0210526315789474,14.3,18.8,,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,1.0
2019-01-02,2.488888888888889,9.2,12.151351351351352,-0.4081081081081081,13.4,16.5,,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-03,2.1222222222222222,0.0,15.36842105263158,1.631578947368421,13.0,14.8,1.0,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-04,1.6222222222222222,0.0,17.924324324324324,1.718918918918919,7.2,8.1,1.0,,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-05,2.0,79.6,13.039473684210526,4.9868421052631575,8.9,9.8,1.0,,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-06,2.711111111111111,1161.5,12.573684210526316,5.244736842105263,10.7,14.3,1.0,1.0,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-07,2.0444444444444443,34.2,15.889473684210524,3.8473684210526313,8.1,10.3,1.0,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-08,2.111111111111111,0.3,18.94473684210526,6.478947368421053,9.4,12.5,1.0,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-09,2.033333333333333,0.0,18.91578947368421,5.171052631578948,6.7,9.4,1.0,1.0,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-10,2.1666666666666665,0.6,17.491891891891893,5.462162162162162,7.2,8.5,1.0,1.0,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-11,1.8777777777777775,11.0,16.55,4.681578947368421,7.2,12.5,1.0,1.0,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-12,2.1,926.8,13.86315789473684,5.6684210526315795,6.7,8.5,1.0,1.0,1.0,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-13,2.111111111111111,131.7,13.271052631578948,3.3684210526315788,7.6,11.2,1.0,1.0,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-14,3.411111111111111,361.8,11.736842105263158,7.213157894736843,11.6,14.3,1.0,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-15,2.844444444444445,1225.6,12.352631578947369,7.828947368421052,9.8,11.6,1.0,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-16,2.4000000000000004,918.4,16.46315789473684,9.363157894736842,8.9,10.3,1.0,,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-17,3.2444444444444445,282.8,14.120512820512822,10.08974358974359,9.4,13.9,1.0,1.0,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-18,1.8444444444444448,754.8,16.002564102564104,9.192307692307692,7.2,8.5,1.0,1.0,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-19,2.3111111111111113,20.1,20.25897435897436,8.5,13.9,17.9,1.0,1.0,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-20,1.7555555555555555,2.2,20.53333333333333,7.712820512820513,30.0,30.4,1.0,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-21,4.6,86.9,13.851282051282052,6.44102564102564,13.4,17.0,1.0,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-22,2.5666666666666664,0.0,15.376923076923076,2.4410256410256412,11.6,15.7,1.0,,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-23,2.566666666666667,0.0,18.28205128205128,3.2948717948717947,9.8,13.4,,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-24,2.388888888888889,0.0,19.789473684210527,5.360526315789474,16.1,20.6,1.0,,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-25,2.3777777777777778,0.0,21.33846153846154,6.258974358974359,10.3,13.4,,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-26,3.0555555555555554,0.0,21.087179487179487,7.338461538461538,17.4,21.5,,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-27,1.7777777777777777,0.0,22.67948717948718,7.5,7.6,7.2,,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-28,1.5666666666666669,0.0,22.315384615384612,7.225641025641026,9.4,11.2,1.0,1.0,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-29,1.7000000000000002,1.1,19.94871794871795,8.756410256410257,6.3,8.1,1.0,1.0,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-30,2.066666666666667,0.0,18.402564102564103,8.461538461538462,10.3,12.1,1.0,1.0,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-01-31,2.7222222222222223,368.8,17.03076923076923,6.935897435897436,10.7,13.9,1.0,1.0,1.0,,1.0,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-02-01,2.0999999999999996,1570.0,15.587179487179489,5.792307692307692,8.1,9.4,1.0,1.0,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-02-02,4.533333333333333,658.9,15.189743589743587,8.11794871794872,19.2,23.7,1.0,,,,,,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
2019-02-03,2.8777777777777778,2354.9,12.912820512820511,6.47948717948718,7.6,9.8,1.0,,,,,1.0,FIPS:06073,San Diego County,CA,mediterranean,wildfires_psps,2019,,
