day,PRCP,TMAX,TMIN
2021-01-01,0.6,13.05,4.15
2021-01-02,17.6,11.399999999999999,4.15
2021-01-03,0.3,11.7,4.15
2021-01-04,25.700000000000003,15.0,9.4
2021-01-05,6.9,12.8,7.2
2021-01-06,2.6,12.8,-4.15
2021-01-07,1.0,13.9,4.4
2021-01-08,6.699999999999999,13.3,9.4
2021-01-09,0.6,15.6,6.7
2021-01-10,0.0,13.600000000000001,3.6
2021-01-11,0.0,16.9,7.5
2021-01-12,0.0,15.0,10.0
2021-01-13,0.0,18.6,8.65
2021-01-14,0.0,18.85,8.35
2021-01-15,0.0,20.0,8.05
2021-01-16,0.0,20.0,8.9
2021-01-17,0.0,21.950000000000003,8.35
2021-01-18,0.0,22.5,9.2
2021-01-19,0.0,21.35,11.95
2021-01-20,0.0,19.450000000000003,10.0
2021-01-21,0.0,12.5,5.85
2021-01-22,15.3,12.2,7.5
2021-01-23,6.1,12.75,6.699999999999999
2021-01-24,7.5,10.0,7.2
2021-01-25,8.1,11.1,6.1
2021-01-26,35.8,10.0,4.4
2021-01-27,111.2,11.7,6.7
2021-01-28,97.8,11.649999999999999,5.550000000000001
2021-01-29,85.5,11.95,4.75
2021-01-30,0.0,13.600000000000001,5.3
2021-01-31,0.0,14.75,6.4
2021-02-01,21.9,15.55,5.85
2021-02-02,51.4,14.15,10.0
2021-02-03,0.5,13.05,6.15
2021-02-04,0.0,13.6,6.949999999999999
2021-02-05,0.0,16.95,6.1
2021-02-06,0.0,19.7,6.699999999999999
2021-02-07,0.0,18.85,6.4
2021-02-08,0.0,15.55,8.9
2021-02-09,0.0,13.3,10.0
2021-02-10,0.0,16.65,7.5
2021-02-11,42.4,16.65,7.5
2021-02-12,40.4,16.35,7.2
2021-02-13,10.4,13.9,9.4
2021-02-14,4.8,16.1,6.95
2021-02-15,34.3,15.85,8.05
2021-02-16,6.4,11.95,7.5
2021-02-17,0.0,16.7,7.2
2021-02-18,0.0,14.2,7.25
2021-02-19,23.599999999999998,13.6,7.25
2021-02-20,4.3,15.0,7.25
2021-02-21,0.0,16.1,7.8
2021-02-22,0.0,20.0,8.9
2021-02-23,0.0,22.2,8.1
2021-02-24,0.0,23.05,8.35
2021-02-25,0.0,21.4,9.2
2021-02-26,0.0,14.4,7.8
2021-02-27,0.0,15.0,6.7
2021-02-28,0.0,21.95,8.05
2021-03-01,0.0,19.4,8.9
2021-03-02,0.0,16.1,8.3
2021-03-03,0.0,15.0,8.9
2021-03-04,0.0,14.4,8.3
2021-03-05,19.6,15.8,6.949999999999999
2021-03-06,12.6,14.15,6.65
2021-03-07,0.0,14.15,5.85
2021-03-08,0.0,14.45,7.25
2021-03-09,26.7,13.3,7.2
2021-03-10,72.7,11.95,6.4
2021-03-11,23.1,13.3,5.25
2021-03-12,0.0,14.45,6.1
2021-03-13,0.0,12.5,6.65
2021-03-14,11.5,13.05,5.800000000000001
2021-03-15,12.2,12.5,5.550000000000001
2021-03-16,0.0,12.5,5.25
2021-03-17,0.0,11.649999999999999,7.25
2021-03-18,36.3,12.2,9.15
2021-03-19,25.2,13.3,9.15
2021-03-20,0.5,13.05,8.05
2021-03-21,0.0,13.9,6.4
2021-03-22,0.0,13.600000000000001,7.5
2021-03-23,0.0,16.1,7.800000000000001
2021-03-24,0.0,18.6,10.55
2021-03-25,0.0,16.65,8.600000000000001
2021-03-26,0.0,19.7,7.2
2021-03-27,0.0,20.3,7.25
2021-03-28,0.0,19.4,7.8
2021-03-29,0.0,16.7,8.05
2021-03-30,0.0,21.4,8.65
2021-03-31,0.0,25.549999999999997,8.899999999999999
2021-04-01,0.0,25.0,10.55
2021-04-02,0.0,19.4,8.6
2021-04-03,0.0,13.9,10.0
2021-04-04,0.0,18.85,8.05
2021-04-05,0.0,18.299999999999997,8.6
2021-04-06,0.0,12.2,8.600000000000001
2021-04-07,0.0,11.95,8.600000000000001
2021-04-08,0.0,13.35,8.3
2021-04-09,0.0,13.35,5.800000000000001
2021-04-10,0.0,17.2,7.8
2021-04-11,0.0,15.850000000000001,5.3
2021-04-12,0.0,14.15,5.550000000000001
2021-04-13,0.0,13.600000000000001,5.85
2021-04-14,0.0,15.0,5.85
2021-04-15,0.0,13.9,8.9
2021-04-16,0.0,12.8,8.3
2021-04-17,0.0,13.3,8.3
2021-04-18,0.0,21.1,8.3
2021-04-19,0.0,14.15,5.85
2021-04-20,0.0,14.4,9.4
2021-04-21,0.0,12.2,8.9
2021-04-22,0.0,11.649999999999999,9.15
2021-04-23,0.0,13.6,9.15
2021-04-24,3.1,14.75,8.9
2021-04-25,12.7,13.600000000000001,8.850000000000001
2021-04-26,8.1,14.15,7.75
2021-04-27,0.0,16.7,8.3
2021-04-28,0.0,18.05,8.35
2021-04-29,0.0,14.45,8.05
2021-04-30,0.0,13.9,10.6
2021-05-01,0.6,13.9,10.0
2021-05-02,0.0,16.65,9.15
2021-05-03,0.0,18.05,10.0
2021-05-04,0.0,17.8,10.85
2021-05-05,0.0,15.6,9.4
2021-05-06,0.0,15.0,8.9
2021-05-07,0.0,17.8,9.4
2021-05-08,0.0,23.9,10.0
2021-05-09,0.0,18.35,9.7
2021-05-10,0.0,18.9,10.0
2021-05-11,0.0,15.6,10.0
2021-05-12,0.0,15.6,8.9
2021-05-13,0.0,13.600000000000001,8.9
2021-05-14,0.0,13.350000000000001,9.15
2021-05-15,0.3,13.3,9.4
2021-05-16,0.3,13.9,9.45
2021-05-17,1.6,12.2,9.4
2021-05-18,0.0,15.8,9.45
