day,PRCP,TMAX,TMIN,WT03
2023-01-01,316.7,16.1,8.9,
2023-01-02,22.1,11.7,7.2,
2023-01-03,49.0,12.2,7.2,
2023-01-04,91.4,15.6,8.9,
2023-01-05,123.9,14.4,10.6,
2023-01-06,40.4,15.0,10.0,
2023-01-07,19.5,15.0,10.6,
2023-01-08,88.2,16.1,11.1,
2023-01-09,220.5,15.0,10.6,
2023-01-10,90.7,13.3,10.0,
2023-01-11,123.8,14.4,10.0,
2023-01-12,96.8,18.9,11.7,
2023-01-13,32.0,16.7,11.1,
2023-01-14,130.4,14.4,10.0,
2023-01-15,76.9,12.2,8.3,
2023-01-16,110.2,12.8,7.8,
2023-01-17,0.3,13.3,6.1,
2023-01-18,6.8999999999999995,13.3,7.2,
2023-01-19,9.8,12.2,7.2,
2023-01-20,0.3,13.3,7.2,
2023-01-21,0.0,13.3,5.6,
2023-01-22,0.0,15.0,6.7,
2023-01-23,0.0,16.7,8.9,
2023-01-24,0.0,16.7,8.3,
2023-01-25,0.0,18.3,7.2,
2023-01-26,0.0,20.0,11.1,
2023-01-27,0.0,13.3,8.3,
2023-01-28,0.0,14.4,7.8,
2023-01-29,0.0,10.0,7.2,
2023-01-30,0.0,12.8,6.1,
2023-01-31,0.0,15.0,5.0,
2023-02-01,0.0,12.8,6.1,
2023-02-02,0.0,15.6,6.7,
2023-02-03,82.0,13.9,8.9,
2023-02-04,26.5,14.4,9.4,
2023-02-05,43.8,12.8,8.9,
2023-02-06,0.8,14.4,6.7,
2023-02-07,0.0,15.6,7.2,
2023-02-08,0.0,17.2,7.8,
2023-02-09,0.0,18.9,8.3,
2023-02-10,1.3,13.3,7.2,
2023-02-11,7.9,11.7,7.2,
2023-02-12,3.5,16.7,6.7,
2023-02-13,0.6,17.2,7.8,
2023-02-14,0.0,11.1,6.7,
2023-02-15,0.0,13.9,7.2,
2023-02-16,0.0,13.3,6.1,
2023-02-17,0.0,15.6,7.2,
2023-02-18,0.0,17.2,6.1,
2023-02-19,0.0,18.3,7.2,
2023-02-20,0.0,19.4,8.3,
2023-02-21,0.0,12.2,6.7,
2023-02-22,0.0,8.9,5.0,
2023-02-23,41.0,9.4,3.9,1.0
2023-02-24,194.79999999999998,9.4,3.9,
2023-02-25,10.3,10.0,5.0,
2023-02-26,38.4,10.0,7.2,
2023-02-27,65.2,10.0,5.0,
2023-02-28,77.9,15.299999999999999,4.75,
2023-03-01,17.5,15.55,3.9,
2023-03-02,0.0,15.25,6.1,
2023-03-03,0.0,16.4,5.3,
2023-03-04,14.7,13.35,5.550000000000001,
2023-03-05,65.8,14.15,4.75,
2023-03-06,26.5,15.25,4.449999999999999,
2023-03-07,16.299999999999997,11.399999999999999,6.1,
2023-03-08,45.9,12.2,6.7,
2023-03-09,63.5,13.9,7.2,
2023-03-10,128.9,14.4,8.9,
2023-03-11,4.8,15.6,8.3,
2023-03-12,25.4,14.4,11.7,
2023-03-13,11.0,18.3,12.2,
2023-03-14,141.2,15.6,8.9,
2023-03-15,25.9,13.9,6.1,
2023-03-16,0.0,15.6,8.9,
2023-03-17,0.0,16.95,8.9,
2023-03-18,0.5,17.8,9.4,
2023-03-19,131.3,16.1,5.0,
2023-03-20,29.9,15.0,2.5,
2023-03-21,92.5,12.8,2.2,
2023-03-22,118.0,14.7,3.6000000000000005,
2023-03-23,0.8,12.8,8.3,
2023-03-24,1.3,13.3,7.2,
2023-03-25,0.0,12.8,6.7,
2023-03-26,0.0,11.95,5.25,
2023-03-27,0.0,15.0,1.6999999999999997,
2023-03-28,67.1,11.95,3.9,
2023-03-29,95.1,10.85,7.5,
2023-03-30,25.9,13.3,6.7,
2023-03-31,0.0,14.4,7.8,
2023-04-01,0.0,15.6,7.2,
2023-04-02,0.0,12.8,8.3,
2023-04-03,0.0,11.4,7.25,
2023-04-04,0.0,11.65,5.3,
2023-04-05,0.0,13.05,6.15,
2023-04-06,0.0,16.1,8.3,
2023-04-07,19.3,14.4,10.0,
2023-04-08,0.8,16.1,9.4,
2023-04-09,0.0,18.05,5.0,
2023-04-10,0.0,16.1,9.7,
2023-04-11,7.3,13.6,8.9,
2023-04-12,0.0,12.75,8.05,
2023-04-13,0.0,13.35,7.25,
2023-04-14,0.0,13.3,7.8,
2023-04-15,0.0,13.9,8.3,
2023-04-16,0.0,13.3,7.8,
2023-04-17,0.6,12.5,7.800000000000001,
2023-04-18,0.6,13.9,7.8,
2023-04-19,0.0,13.9,7.8,
2023-04-20,0.0,17.2,8.3,
2023-04-21,0.0,22.2,11.1,
2023-04-22,0.0,18.9,10.6,
2023-04-23,0.0,15.85,8.35,
2023-04-24,0.0,15.25,8.600000000000001,
2023-04-25,0.0,16.1,8.35,
2023-04-26,0.0,17.5,8.6,
2023-04-27,0.0,23.3,8.3,
2023-04-28,0.0,16.7,10.0,
2023-04-29,0.0,13.9,8.9,
2023-04-30,0.0,13.850000000000001,8.6,
2023-05-01,0.0,12.8,8.9,
2023-05-02,32.0,12.8,8.9,
2023-05-03,91.5,16.1,9.4,
2023-05-04,8.7,15.0,9.4,
2023-05-05,0.0,15.0,10.6,
2023-05-06,11.1,16.1,11.1,
2023-05-07,1.8,15.0,9.7,
2023-05-08,1.5,14.700000000000001,10.6,
2023-05-09,1.8,15.0,11.1,
2023-05-10,0.0,14.15,10.6,
2023-05-11,0.0,16.1,10.6,
2023-05-12,0.0,17.2,10.6,
2023-05-13,0.0,23.3,10.6,
2023-05-14,0.0,16.9,10.0,
2023-05-15,0.0,15.25,10.0,
2023-05-16,0.0,16.9,10.55,
2023-05-17,0.0,15.6,10.6,
2023-05-18,0.0,15.0,10.6,
2023-05-19,0.0,15.0,10.6,
2023-05-20,2.0,15.0,10.6,
2023-05-21,1.9,15.8,10.0,
2023-05-22,0.0,16.4,10.85,
2023-05-23,0.0,16.1,10.85,
2023-05-24,0.0,15.3,10.85,
2023-05-25,0.0,15.25,11.1,
2023-05-26,1.2,15.55,11.1,
2023-05-27,1.1,14.45,10.85,
2023-05-28,0.0,13.850000000000001,11.399999999999999,
2023-05-29,0.0,17.8,11.649999999999999,
2023-05-30,0.0,15.55,11.649999999999999,
2023-05-31,0.0,15.6,10.85,
2023-06-01,0.0,16.7,11.1,
2023-06-02,0.0,17.2,11.1,
2023-06-03,0.0,20.6,10.6,
2023-06-04,0.0,16.7,10.55,
2023-06-05,0.0,16.1,10.85,
2023-06-06,0.0,17.2,11.95,
2023-06-07,0.8,18.3,13.3,
2023-06-08,0.0,18.3,12.8,
2023-06-09,0.0,16.1,12.2,
2023-06-10,0.0,16.1,11.1,
2023-06-11,0.0,16.7,11.7,
2023-06-12,0.0,17.8,12.8,
2023-06-13,0.0,17.2,12.8,
2023-06-14,0.0,18.3,11.7,
2023-06-15,0.0,18.9,12.2,
2023-06-16,0.0,18.9,13.3,
2023-06-17,0.0,17.2,12.8,
2023-06-18,0.0,16.950000000000003,11.95,
2023-06-19,0.0,15.85,11.1,
2023-06-20,0.0,17.25,10.0,
2023-06-21,0.0,15.8,10.0,
2023-06-22,0.0,15.55,11.649999999999999,
2023-06-23,0.3,16.4,12.8,
2023-06-24,0.0,15.85,12.5,
2023-06-25,0.0,15.55,13.05,
2023-06-26,0.5,15.3,11.95,
2023-06-27,1.4000000000000001,14.15,10.6,
2023-06-28,1.6,13.600000000000001,10.6,
2023-06-29,0.5,16.1,10.6,
2023-06-30,0.0,16.1,10.85,
2023-07-01,0.0,20.3,10.6,
2023-07-02,0.0,19.75,11.95,
2023-07-03,0.0,18.3,13.3,
2023-07-04,0.0,16.7,11.4,
2023-07-05,0.0,16.1,12.5,
2023-07-06,0.0,16.7,12.2,
2023-07-07,1.4000000000000001,15.6,11.7,
2023-07-08,0.0,16.1,11.7,
2023-07-09,0.3,15.0,11.399999999999999,
2023-07-10,1.1,15.3,10.85,
2023-07-11,0.0,17.25,11.149999999999999,
2023-07-12,0.3,15.3,10.85,
2023-07-13,0.0,15.8,11.399999999999999,
2023-07-14,0.3,16.4,11.399999999999999,
2023-07-15,0.5,17.8,11.399999999999999,
2023-07-16,0.0,17.5,11.649999999999999,
2023-07-17,0.0,19.15,11.95,
2023-07-18,0.0,16.4,12.25,
2023-07-19,0.3,15.55,11.7,
2023-07-20,0.0,17.2,11.399999999999999,
2023-07-21,0.0,17.75,11.649999999999999,
2023-07-22,0.0,19.15,12.2,
2023-07-23,0.0,17.75,12.5,
2023-07-24,0.0,16.95,11.399999999999999,
2023-07-25,0.0,17.8,11.399999999999999,
2023-07-26,0.0,18.3,13.3,
2023-07-27,0.0,17.8,12.2,
2023-07-28,0.0,18.3,11.7,
2023-07-29,0.0,19.4,11.7,
2023-07-30,0.0,17.5,11.649999999999999,
2023-07-31,0.0,17.5,11.95,
2023-08-01,0.0,16.15,11.95,
2023-08-02,1.0,16.7,12.2,
2023-08-03,0.0,16.7,12.2,
2023-08-04,0.5,20.0,12.2,
2023-08-05,0.3,22.8,12.2,
2023-08-06,0.0,19.450000000000003,12.2,
2023-08-07,0.0,20.55,12.8,
2023-08-08,0.0,18.049999999999997,12.5,
2023-08-09,0.5,15.55,12.5,
2023-08-10,2.1,19.4,12.8,
2023-08-11,0.5,19.4,15.0,
2023-08-12,0.0,20.0,13.3,
2023-08-13,0.0,19.2,12.5,
2023-08-14,0.0,18.65,13.05,
2023-08-15,0.0,19.450000000000003,13.05,
2023-08-16,0.5,18.6,13.600000000000001,
2023-08-17,0.5,18.65,14.4,
2023-08-18,0.0,21.4,15.55,
2023-08-19,0.0,18.35,14.7,
2023-08-20,0.0,23.6,14.15,
2023-08-21,0.0,21.1,15.850000000000001,
2023-08-22,0.5,21.4,15.55,
2023-08-23,0.0,25.85,15.3,
2023-08-24,0.0,21.9,16.4,
2023-08-25,0.0,18.049999999999997,14.7,
2023-08-26,0.0,17.200000000000003,14.15,
2023-08-27,0.0,18.049999999999997,13.600000000000001,
2023-08-28,0.0,20.85,13.600000000000001,
2023-08-29,0.0,21.65,13.600000000000001,
2023-08-30,0.0,24.75,15.0,
2023-08-31,0.0,16.65,13.600000000000001,
2023-09-01,5.1,16.950000000000003,13.9,
2023-09-02,1.8,20.549999999999997,15.0,
2023-09-03,0.0,18.6,14.15,
2023-09-04,0.0,17.75,13.3,
2023-09-05,0.0,18.35,13.600000000000001,
2023-09-06,0.0,18.65,13.600000000000001,
2023-09-07,0.0,17.5,13.05,
2023-09-08,0.0,18.9,12.8,
2023-09-09,0.0,17.2,13.05,
2023-09-10,0.0,18.35,11.95,
2023-09-11,0.0,19.45,13.600000000000001,
2023-09-12,0.0,20.55,13.9,
2023-09-13,0.0,18.1,13.350000000000001,
2023-09-14,0.0,18.35,13.3,
2023-09-15,0.5,17.75,15.3,
2023-09-16,0.0,18.299999999999997,15.3,
2023-09-17,0.0,18.9,15.0,
2023-09-18,0.0,18.9,14.7,
2023-09-19,0.0,18.6,14.15,
2023-09-20,0.0,18.6,13.850000000000001,
