day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT08
2024-01-01,1.5,0.0,22.28333333333333,10.883333333333333,5.4,7.6,1.0,1.0,,1.0
2024-01-02,2.3666666666666667,0.0,22.09166666666667,11.299999999999999,7.6,9.8,1.0,1.0,,
2024-01-03,2.5,0.3,22.40909090909091,11.372727272727273,8.1,13.9,,,,
2024-01-04,3.1333333333333333,0.3,24.633333333333336,13.008333333333333,8.1,11.6,,,,
2024-01-05,5.233333333333333,0.0,25.325,15.191666666666668,10.3,13.9,,,,
2024-01-06,4.3999999999999995,22.8,25.84166666666667,18.95,9.8,18.3,1.0,,,
2024-01-07,3.0666666666666664,237.1,24.358333333333334,18.25,8.1,11.2,1.0,,1.0,
2024-01-08,5.166666666666667,37.3,23.541666666666668,15.550000000000002,11.6,16.5,,,,
2024-01-09,7.2,11.7,25.516666666666666,19.358333333333334,13.4,19.7,1.0,,,
2024-01-10,1.8,62.099999999999994,24.633333333333336,17.583333333333332,8.9,12.1,1.0,,,
2024-01-11,2.733333333333333,152.8,21.816666666666666,17.558333333333334,5.8,8.5,1.0,,,
2024-01-12,4.1000000000000005,232.6,26.28333333333333,19.116666666666667,9.8,14.3,1.0,,,
2024-01-13,4.833333333333333,4.4,29.625,21.05,10.7,15.2,,,,
2024-01-14,4.366666666666667,15.4,26.241666666666664,18.425,8.1,11.2,1.0,,,
2024-01-15,4.333333333333333,70.6,26.675,20.425,9.4,14.8,,,1.0,
2024-01-16,3.533333333333333,6.8999999999999995,28.608333333333334,21.400000000000002,8.9,13.0,1.0,,1.0,
2024-01-17,4.166666666666667,39.9,26.241666666666664,18.333333333333332,8.1,10.3,,,,
2024-01-18,3.1666666666666665,0.0,25.366666666666664,18.3,7.6,9.8,1.0,,,
2024-01-19,1.7666666666666666,1.8,25.791666666666668,19.408333333333335,9.8,12.1,1.0,1.0,,
2024-01-20,4.133333333333334,6.800000000000001,23.65833333333333,15.508333333333333,8.1,10.3,,,,
2024-01-21,5.8999999999999995,0.0,22.55,11.758333333333333,10.3,14.8,,,,
2024-01-22,7.466666666666666,0.8,23.474999999999998,16.108333333333334,13.0,16.1,,,,
2024-01-23,6.533333333333334,0.3,24.958333333333332,19.991666666666667,10.7,14.8,,,,
2024-01-24,6.233333333333333,0.0,26.59166666666667,21.400000000000002,9.8,13.9,,,,
2024-01-25,4.6000000000000005,0.3,26.781818181818185,21.972727272727273,8.9,13.9,,,,
2024-01-26,4.033333333333333,2.8,27.08181818181818,20.400000000000002,7.6,11.6,,,,
2024-01-27,4.033333333333334,3.4000000000000004,27.71666666666667,20.875,10.3,15.2,1.0,,,
2024-01-28,4.766666666666667,1.6,28.791666666666668,18.558333333333334,11.2,15.7,1.0,1.0,,
2024-01-29,4.833333333333333,0.8999999999999999,23.845454545454547,12.216666666666667,10.3,13.9,,,,
2024-01-30,2.6333333333333333,0.0,21.2,10.366666666666667,5.8,9.8,,,,
2024-01-31,4.166666666666667,0.0,22.55,10.733333333333334,8.1,12.5,,,,
2024-02-01,2.6999999999999997,0.0,22.766666666666666,10.924999999999999,6.7,8.5,,,,
2024-02-02,1.8666666666666665,0.0,23.900000000000002,13.225,6.3,12.1,,,,
2024-02-03,2.3333333333333335,0.0,25.474999999999998,12.916666666666666,7.2,16.1,,,,
2024-02-04,3.8333333333333335,62.3,24.433333333333334,15.1,11.2,17.0,1.0,,1.0,
2024-02-05,2.6,473.0,21.991666666666664,14.666666666666666,9.8,15.2,1.0,,1.0,1.0
2024-02-06,6.566666666666666,154.6,20.8,12.958333333333334,11.2,17.4,1.0,,,
2024-02-07,4.866666666666667,9.4,22.791666666666668,12.083333333333334,9.4,13.4,,,,
2024-02-08,3.1333333333333333,0.0,24.766666666666666,13.008333333333333,8.1,12.1,,,,
2024-02-09,3.8000000000000003,57.3,24.583333333333332,16.891666666666666,9.4,12.5,,,,
2024-02-10,4.7,0.0,25.375,18.291666666666668,8.9,12.5,,,,
2024-02-11,4.866666666666666,1.8,26.733333333333334,20.191666666666666,9.8,14.8,1.0,,,
2024-02-12,4.7,13.4,28.016666666666666,21.116666666666667,11.2,16.5,,,,
2024-02-13,3.5,64.3,28.474999999999998,18.099999999999998,6.7,9.8,1.0,,,
2024-02-14,3.6999999999999997,3.2,26.95,13.325000000000001,7.2,11.6,,,,
2024-02-15,3.033333333333333,0.0,25.84166666666667,14.583333333333334,7.2,11.6,,,,
2024-02-16,2.4333333333333336,0.0,25.891666666666666,16.633333333333333,6.7,12.1,1.0,,,
2024-02-17,2.6,0.0,27.3,17.091666666666665,7.6,11.2,,,,
2024-02-18,3.3000000000000003,227.5,25.958333333333332,17.866666666666667,13.9,19.7,1.0,,1.0,
2024-02-19,4.966666666666667,935.1,22.266666666666666,14.308333333333332,10.7,15.2,1.0,,,1.0
2024-02-20,2.9333333333333336,2.1,20.983333333333334,10.641666666666667,7.2,11.2,1.0,1.0,,
2024-02-21,3.766666666666667,0.0,21.849999999999998,10.508333333333333,9.8,14.8,,,,
2024-02-22,2.4,0.0,23.325,11.066666666666668,5.8,8.5,,,,
2024-02-23,3.533333333333333,0.0,25.008333333333336,12.283333333333333,9.8,13.0,,,,
2024-02-24,3.6666666666666665,43.9,25.5,14.358333333333334,10.3,14.3,1.0,,,
2024-02-25,2.3000000000000003,1.5,24.65833333333333,10.283333333333333,7.2,11.6,1.0,,,
2024-02-26,2.6333333333333333,0.0,24.766666666666666,12.308333333333332,6.3,10.3,1.0,1.0,,
2024-02-27,3.0,0.0,25.263636363636362,13.436363636363637,7.6,12.1,,,,
2024-02-28,3.9333333333333336,0.0,26.5,16.441666666666666,8.9,14.3,1.0,,,
2024-02-29,2.6,0.0,27.45,17.691666666666666,5.8,9.4,1.0,,,
2024-03-01,5.066666666666666,0.8,26.981818181818184,19.59090909090909,10.3,13.4,,,,
2024-03-02,3.6666666666666665,8.2,26.972727272727273,20.463636363636365,7.6,12.1,,,,
2024-03-03,2.9,63.89999999999999,28.56666666666667,19.811111111111114,7.6,12.1,1.0,,1.0,1.0
2024-03-04,2.466666666666667,185.9,29.26,19.39,8.9,13.0,1.0,,1.0,1.0
2024-03-05,3.1666666666666665,48.6,29.145454545454548,19.945454545454545,6.3,10.3,,,,
2024-03-06,2.466666666666667,437.7,28.027272727272727,20.40909090909091,10.3,15.7,1.0,,1.0,
2024-03-07,1.7666666666666666,91.19999999999999,29.3,20.045454545454547,7.6,11.2,1.0,,,
2024-03-08,2.733333333333333,33.6,30.058333333333334,20.416666666666668,7.6,13.0,1.0,,,
2024-03-09,4.133333333333334,1.8,29.675,22.55,9.4,16.5,,,,
2024-03-10,4.333333333333333,0.3,30.608333333333334,22.366666666666664,9.8,13.4,1.0,,,
2024-03-11,4.466666666666667,0.0,29.03333333333333,17.683333333333334,8.1,11.6,,,,
2024-03-12,2.8666666666666667,0.0,27.40833333333333,16.933333333333334,7.2,10.3,,,,
2024-03-13,2.5666666666666664,0.0,27.816666666666666,17.458333333333332,7.2,11.2,,,,
2024-03-14,3.533333333333333,0.0,28.566666666666666,18.566666666666666,7.6,11.6,1.0,,,
2024-03-15,4.166666666666667,0.0,28.5,19.733333333333334,8.9,14.3,1.0,,,
2024-03-16,2.6333333333333333,2.8,29.816666666666666,19.21666666666667,6.7,12.5,1.0,,,1.0
2024-03-17,3.1666666666666665,19.4,30.74166666666667,20.783333333333335,8.1,13.4,1.0,,,
2024-03-18,3.8333333333333335,0.3,31.53333333333333,21.724999999999998,9.4,12.1,1.0,,,
2024-03-19,4.466666666666667,19.2,29.208333333333332,18.658333333333335,11.6,15.7,1.0,,,
2024-03-20,3.4333333333333336,1.9000000000000001,26.15833333333333,16.116666666666667,7.6,10.7,,,,
2024-03-21,4.5,1.0,26.900000000000002,17.775000000000002,10.3,13.9,,,,
2024-03-22,4.8999999999999995,328.3,25.508333333333336,19.666666666666668,11.6,15.2,1.0,,1.0,
2024-03-23,3.1,2091.3,25.150000000000002,19.375,11.6,14.3,1.0,1.0,1.0,
2024-03-24,4.466666666666666,914.5,26.927272727272726,16.818181818181817,9.4,12.5,,,,
2024-03-25,6.8,0.6,27.281818181818185,20.009090909090908,11.2,14.8,,,,
2024-03-26,5.433333333333334,1.9,27.627272727272725,21.37272727272727,9.4,14.3,,,,
2024-03-27,4.566666666666666,0.0,28.527272727272727,21.87272727272727,8.1,11.6,,,,
2024-03-28,5.766666666666667,0.0,29.436363636363637,21.163636363636364,13.0,18.8,,,,
2024-03-29,4.8,0.0,28.19090909090909,17.272727272727273,10.7,14.8,,,,
2024-03-30,3.3333333333333335,0.0,26.61818181818182,15.863636363636363,8.1,11.6,,,,
2024-03-31,2.8000000000000003,0.0,26.527272727272727,16.072727272727274,8.1,12.1,,,,
2024-04-01,2.9,0.0,27.772727272727273,17.172727272727272,7.2,11.6,1.0,,,
2024-04-02,3.6666666666666665,0.0,29.181818181818183,18.945454545454545,8.9,14.8,,,,
2024-04-03,5.8999999999999995,0.0,30.718181818181815,21.818181818181817,13.0,17.9,,,,
2024-04-04,4.066666666666666,259.2,28.19090909090909,20.145454545454545,10.7,13.9,1.0,,1.0,
2024-04-05,3.3333333333333335,8.5,26.169999999999998,17.018181818181816,7.2,10.7,,,,
2024-04-06,2.9333333333333336,0.0,27.236363636363638,14.30909090909091,7.6,11.6,,,,
