day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08
2021-01-01,3.55,96.7,19.7,13.600000000000001,7.2,9.8,1.0,1.0,,,,
2021-01-02,1.8499999999999999,267.7,18.05,11.399999999999999,5.4,7.6,1.0,1.0,,,,
2021-01-03,4.25,0.8,11.95,1.95,9.8,12.5,,,,,,
2021-01-04,2.2,0.3,14.7,0.55,5.4,6.7,1.0,,,,,
2021-01-05,3.7,0.0,13.850000000000001,4.45,9.4,13.0,,,,,,
2021-01-06,1.2,0.3,13.05,0.0,5.8,8.5,,,,,,
2021-01-07,4.05,23.1,8.05,1.1,10.3,13.4,1.0,,,,,
2021-01-08,4.4,61.1,5.6,2.8,10.3,13.9,1.0,,,,,
2021-01-09,5.949999999999999,19.0,3.3,-0.75,10.7,13.9,,,,,,
2021-01-10,1.5999999999999999,1.3,8.9,-2.6500000000000004,6.3,8.9,,,,,,
2021-01-11,2.5,12.0,7.2,3.6,6.3,7.6,1.0,,,,,1.0
2021-01-12,3.5,74.5,6.1,1.1,7.2,9.4,1.0,,,,,
2021-01-13,2.55,0.0,10.3,-1.3,6.7,9.4,1.0,,1.0,,,
2021-01-14,2.15,0.3,13.600000000000001,-2.1,6.7,10.3,1.0,,,,,
2021-01-15,3.9000000000000004,0.3,13.05,2.5,9.8,13.9,,,,,,
2021-01-16,3.8,0.0,7.2,-0.8,11.6,16.1,,,,,,
2021-01-17,2.75,0.0,10.85,0.0,7.6,11.2,,,,,,
2021-01-18,3.3,0.5,12.8,0.6,9.4,14.8,,,,,,
2021-01-19,2.35,0.0,15.850000000000001,-0.8,7.2,9.8,,,,,,
2021-01-20,4.05,0.0,12.75,6.4,8.9,13.0,,,,,,
2021-01-21,2.75,20.9,10.85,5.6,7.2,11.2,1.0,,,,,
2021-01-22,2.0,43.4,15.0,5.6,6.7,8.5,1.0,,,,,
2021-01-23,2.1500000000000004,0.6,16.95,1.4,6.3,9.8,,,,,,
2021-01-24,2.75,1.0,16.7,3.3499999999999996,6.7,9.8,1.0,,,,,
2021-01-25,2.5,33.0,19.4,8.600000000000001,8.1,13.9,1.0,,,,,
2021-01-26,2.75,312.4,20.6,11.4,10.3,15.2,1.0,,1.0,,,
2021-01-27,3.8,234.2,15.3,5.85,13.9,19.7,1.0,,,,,
2021-01-28,6.65,39.5,7.75,0.8500000000000001,13.0,18.8,,,,,,
2021-01-29,2.3,0.0,11.399999999999999,-1.85,6.7,9.4,,,,,,
2021-01-30,2.65,0.0,10.85,-1.05,7.6,10.7,,,,,1.0,
2021-01-31,3.2,110.3,8.600000000000001,5.0,10.3,15.7,1.0,,,,,
2021-02-01,8.0,28.7,8.05,2.2,14.8,20.1,,,,,,
2021-02-02,7.35,0.0,8.05,0.6,13.4,18.3,,,,,,
2021-02-03,4.4,0.0,10.3,-1.85,8.1,11.2,,,,,,
2021-02-04,2.05,0.0,12.2,-2.1,6.7,10.3,,,,,,
2021-02-05,3.7,39.1,12.8,3.6,9.4,12.5,1.0,,,,,
2021-02-06,3.3499999999999996,31.5,11.399999999999999,0.050000000000000044,10.7,16.1,1.0,,,1.0,,
2021-02-07,3.45,155.70000000000002,10.6,1.7,7.6,10.7,1.0,,,,,
2021-02-08,2.45,0.0,15.6,-0.25,6.7,9.8,1.0,,,,,
2021-02-09,1.4500000000000002,0.3,18.6,8.9,4.5,7.2,1.0,1.0,,,,1.0
2021-02-10,1.1,0.0,21.4,5.55,4.0,5.8,1.0,1.0,,,,
2021-02-11,1.05,30.0,16.95,11.1,5.4,6.7,1.0,1.0,1.0,,,
2021-02-12,3.3,115.6,15.3,5.3,8.1,11.2,1.0,1.0,,,,
2021-02-13,3.45,107.4,7.8,4.15,6.7,11.2,1.0,,,,,
2021-02-14,3.4,32.0,8.9,6.1,6.3,8.1,1.0,,,,,
2021-02-15,3.75,48.0,9.45,6.1,8.1,11.6,1.0,,1.0,,,
2021-02-16,5.0,179.0,7.2,-4.6,8.1,11.6,1.0,,,,,
2021-02-17,3.0999999999999996,2.8,11.95,-5.45,7.6,12.5,1.0,,,,,
2021-02-18,3.65,206.9,7.2,3.9,8.9,12.1,1.0,,,,,
2021-02-19,5.25,28.900000000000002,9.4,1.9500000000000002,10.3,13.9,1.0,,,,,
2021-02-20,2.5,2.3,11.95,-2.4000000000000004,7.2,10.7,,,,,,
2021-02-21,3.1500000000000004,0.5,16.1,-1.3,8.9,13.4,,,,,,
2021-02-22,4.05,20.2,17.75,6.95,9.8,14.3,1.0,,,,,
2021-02-23,2.95,7.8,21.4,2.75,7.6,10.7,,,,,,
2021-02-24,2.3,0.0,22.8,3.3499999999999996,8.9,13.0,,,,,,
2021-02-25,2.5,0.0,23.6,7.8,6.7,9.8,,,,,,
2021-02-26,3.5,49.5,14.15,8.9,9.4,12.1,1.0,,,,,
2021-02-27,2.15,63.099999999999994,20.0,8.3,5.8,9.8,1.0,1.0,,,,1.0
2021-02-28,3.15,0.0,26.4,11.7,9.8,14.8,1.0,,,,,
2021-03-01,4.2,56.099999999999994,20.6,8.600000000000001,14.3,19.2,1.0,,,,,1.0
2021-03-02,3.9000000000000004,13.7,9.4,5.0,10.3,14.3,,,,,,
2021-03-03,3.5,85.1,18.3,3.9,7.2,9.4,1.0,,,,,
2021-03-04,3.5999999999999996,8.4,21.1,5.550000000000001,10.7,13.4,,,,,,
2021-03-05,3.25,0.0,19.4,3.65,9.8,12.1,,,,,,
2021-03-06,2.95,0.0,12.5,3.6,8.1,10.7,,,,,,
2021-03-07,2.85,0.0,16.1,0.6,8.9,11.2,,,,,,
2021-03-08,1.25,0.0,20.85,0.8999999999999999,5.4,6.3,,,,,,
2021-03-09,1.6,0.0,21.1,1.9500000000000002,5.8,8.5,,,,,,1.0
2021-03-10,2.05,0.0,23.3,5.0,6.7,9.8,,,,,,
2021-03-11,1.7000000000000002,0.0,23.3,9.2,5.8,8.1,,,,,,1.0
2021-03-12,1.65,0.0,25.85,9.15,5.8,7.6,1.0,,,,,
2021-03-13,1.8,0.0,26.15,12.25,5.8,7.6,,,,,,
2021-03-14,1.85,0.0,27.2,12.2,6.3,8.9,,,,,,
2021-03-15,4.55,1.0,21.1,15.6,9.8,12.5,,,,,,
2021-03-16,4.05,52.3,16.4,8.600000000000001,10.3,12.5,1.0,,,,,
2021-03-17,3.1,55.49999999999999,15.0,9.7,6.7,9.8,1.0,1.0,,,,
2021-03-18,5.95,197.8,22.75,8.35,11.6,17.4,1.0,,1.0,,,
2021-03-19,4.75,56.5,15.6,6.95,11.6,14.3,,,,,,
2021-03-20,5.65,0.8,14.7,5.3,11.2,14.3,,,,,,
2021-03-21,5.15,0.0,19.4,8.05,10.3,12.5,,,,,,
2021-03-22,3.75,1.6,21.95,9.7,9.8,12.5,,,,,,
2021-03-23,3.4000000000000004,0.0,20.6,13.600000000000001,11.6,16.1,,,,,,1.0
2021-03-24,2.55,0.8,23.9,15.0,10.3,16.1,,,,,,
2021-03-25,4.25,80.9,24.7,15.3,15.7,24.1,1.0,,1.0,,,1.0
2021-03-26,1.95,481.29999999999995,24.15,17.25,7.6,14.8,1.0,,1.0,,,
2021-03-27,3.0,0.6,28.05,17.25,8.1,12.5,1.0,1.0,,,,
2021-03-28,5.2,17.8,22.8,11.399999999999999,11.2,16.5,1.0,,,,,
2021-03-29,2.55,81.5,20.6,4.7,9.4,13.9,,,,,,
2021-03-30,3.25,3.6,24.15,8.3,6.7,9.8,,,,,,
2021-03-31,3.55,132.5,20.299999999999997,6.95,16.1,20.6,1.0,,1.0,,,
2021-04-01,7.4,368.2,11.399999999999999,4.15,13.9,19.2,,,,,,
2021-04-02,3.3,0.0,13.600000000000001,0.3,7.6,10.3,,,,,,
2021-04-03,0.95,0.0,17.8,0.35,5.4,7.2,,,,,,
2021-04-04,1.65,0.0,22.8,2.75,5.4,8.9,,,,,,
2021-04-05,1.4,0.0,25.85,6.9,5.8,7.6,,,,,,
2021-04-06,1.8,0.0,26.95,8.65,6.7,9.4,,,,,,
2021-04-07,2.05,0.0,27.2,11.65,6.3,8.9,,,,,,
2021-04-08,3.15,0.0,25.6,15.0,9.4,13.4,,,,,,
2021-04-09,3.0,0.0,25.25,15.8,7.6,12.5,,,,,,
2021-04-10,3.55,13.7,21.1,15.850000000000001,8.9,13.4,1.0,,,,,1.0
2021-04-11,2.8499999999999996,90.0,23.9,13.05,7.6,10.3,1.0,,,,,
2021-04-12,3.6500000000000004,0.0,28.3,9.45,10.7,13.9,,,,,,
