day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT08
2023-01-01,2.2,0.0,13.350000000000001,10.0,5.8,8.1,1.0,,,,
2023-01-02,1.9000000000000001,0.5,13.3,9.15,4.5,7.2,,,,,
2023-01-03,1.15,10.7,13.850000000000001,8.05,4.0,6.7,1.0,,,,1.0
2023-01-04,2.1,10.9,16.4,9.15,5.8,9.8,1.0,,,,
2023-01-05,2.05,0.3,13.6,10.3,5.8,6.7,1.0,,,,1.0
2023-01-06,1.4,15.5,11.65,8.9,5.8,9.4,1.0,,,,1.0
2023-01-07,2.15,0.0,10.55,4.449999999999999,5.8,8.9,,,,,
2023-01-08,1.7000000000000002,0.0,6.65,0.0,5.4,7.6,,,,,
2023-01-09,1.9,0.3,6.7,1.95,6.3,8.5,1.0,,,,
2023-01-10,1.9,0.0,5.0,3.3,5.4,6.3,,,,,
2023-01-11,2.1,0.0,5.3,2.25,6.3,8.5,,,,,
2023-01-12,1.55,7.6,12.5,2.5,5.8,9.8,1.0,,,,
2023-01-13,2.5,11.2,13.350000000000001,3.5999999999999996,7.2,10.7,1.0,,,,
2023-01-14,3.1,0.0,4.699999999999999,-0.25,7.6,12.5,,,,,1.0
2023-01-15,2.8,0.0,5.55,-1.05,8.1,13.9,,,,,
2023-01-16,2.35,0.0,7.25,-1.6,7.2,11.2,,,,,
2023-01-17,1.6,0.0,9.15,0.0,5.4,8.5,,,,,
2023-01-18,3.4,1.3,11.7,5.6,8.1,12.1,,,,,
2023-01-19,1.6,22.400000000000002,9.45,5.0,6.3,8.1,1.0,,1.0,,
2023-01-20,3.5,24.9,9.7,4.7,7.2,12.1,1.0,,,,
2023-01-21,2.15,0.0,6.699999999999999,3.05,6.7,9.8,,,,,
2023-01-22,2.1500000000000004,13.0,6.15,2.75,5.8,7.2,1.0,,,,
2023-01-23,2.35,10.4,5.3,2.5,8.9,13.9,1.0,,,,
2023-01-24,3.35,4.6,6.4,1.9500000000000002,8.9,12.5,,,,,
2023-01-25,1.8,22.9,10.0,1.9500000000000002,7.2,13.0,1.0,,,,
2023-01-26,2.9,50.599999999999994,10.3,3.9,8.9,14.3,1.0,,,,
2023-01-27,2.2,0.0,6.7,2.25,5.8,9.8,,,,,
2023-01-28,2.95,0.0,11.399999999999999,2.75,8.1,14.3,,,,,
