day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
2020-01-01,2.9,1.1,10.3,-0.5,9.4,10.7,,,,,,,,
2020-01-02,2.3,0.0,9.75,-4.1,6.3,8.1,,,,,,,,
2020-01-03,2.2,117.19999999999999,11.399999999999999,1.9500000000000002,5.4,6.7,1.0,,,,,,,
2020-01-04,3.0,94.4,12.75,6.949999999999999,11.6,14.3,1.0,1.0,,,,,,
2020-01-05,5.5,162.7,10.0,-0.25,12.5,16.1,,,,,,,,
2020-01-06,3.3,0.0,8.05,-2.2,9.8,14.3,,,,,,,,
2020-01-07,2.2,17.0,7.75,-2.45,7.6,9.4,1.0,1.0,,,,,,
2020-01-08,4.2,190.0,5.85,-3.0,12.5,16.1,,,,,,1.0,,
2020-01-09,3.1,0.0,4.75,-4.35,5.4,7.6,,,,,,,,
2020-01-10,3.6,0.0,8.3,-1.95,7.2,9.8,,,,,,,,
2020-01-11,5.7,0.8999999999999999,17.5,6.1,13.0,16.5,1.0,,,,,,,
2020-01-12,4.9,238.0,20.55,10.85,9.8,13.4,1.0,,,,,,,
2020-01-13,1.4,0.0,14.45,3.3,3.1,4.9,,,,,,,,
2020-01-14,0.9,10.4,9.15,3.3,4.0,5.4,1.0,1.0,,,,,,
2020-01-15,1.9,31.5,10.85,4.7,5.4,7.6,1.0,1.0,,,,,,
2020-01-16,8.5,0.3,13.05,3.35,16.5,22.8,,,,,,,,
2020-01-17,5.7,0.0,6.949999999999999,-3.25,13.9,17.4,,,,,,,,
2020-01-18,4.3,29.7,3.0500000000000003,-4.35,10.7,13.9,1.0,,,1.0,,1.0,,
2020-01-19,6.6,136.5,5.55,-4.1,14.8,19.2,1.0,,,,,,,
2020-01-20,6.0,0.0,2.75,-5.8,9.8,13.0,,,,,,,,
2020-01-21,4.5,0.0,0.55,-6.65,8.1,10.3,,,,,,,,
2020-01-22,1.0,0.0,2.5,-8.3,4.0,5.8,,,,,,,,
2020-01-23,0.7,0.0,4.699999999999999,-7.449999999999999,3.6,4.5,,,,,,,,
2020-01-24,3.2,3.3,7.5,-2.8,10.3,13.0,1.0,,,,,,1.0,
2020-01-25,3.9,941.1,10.0,1.1,9.8,13.9,1.0,,,,,,,
2020-01-26,2.7,10.2,8.600000000000001,-1.35,7.6,9.8,,,,,,,,
2020-01-27,4.1,0.0,8.6,-0.55,9.4,12.1,,,,,,,,
2020-01-28,5.6,0.0,7.5,2.2,9.8,12.1,,,,,,,,
2020-01-29,3.3,0.0,6.4,-0.5,8.1,10.3,,,,,,,,
2020-01-30,1.5,0.0,5.3,-4.65,3.6,4.5,,,,,,,,
2020-01-31,1.1,0.0,5.3,-3.25,4.0,6.3,,,,,,,,
2020-02-01,1.2,6.8,7.8,-3.55,6.3,9.4,1.0,,,,,,,
2020-02-02,3.6,56.0,11.9,-1.9,9.8,13.4,1.0,1.0,,,,,,
2020-02-03,4.1,5.2,17.2,2.75,11.6,16.1,,,,,,,,
2020-02-04,2.2,11.5,18.6,9.2,4.5,6.3,,,,,,,,
2020-02-05,3.9,20.6,16.95,4.75,9.4,12.5,1.0,,,,,,1.0,
2020-02-06,2.0,112.3,7.800000000000001,2.5,7.2,9.4,1.0,,,,,,,
2020-02-07,6.6,585.6,14.15,1.7,15.7,19.7,1.0,1.0,1.0,,,,,
2020-02-08,3.1,235.7,10.3,-2.2,7.6,9.8,,,,,,,,
2020-02-09,2.1,2.3,7.5,-3.8,6.7,9.8,,,,,,,,
2020-02-10,5.1,41.8,8.600000000000001,0.8500000000000001,10.3,13.4,1.0,,,,,,,
2020-02-11,2.4,457.7,11.7,6.1,10.7,13.9,1.0,,,,,,,
2020-02-12,3.3,87.4,10.3,3.9,8.9,11.2,1.0,,,,,,,
2020-02-13,5.2,148.9,10.55,3.9,13.0,16.5,1.0,,,,,,,
2020-02-14,5.6,99.89999999999999,8.3,-1.9000000000000001,11.2,14.8,,,,,,,,
2020-02-15,2.4,0.5,2.5,-9.100000000000001,6.7,8.1,,,,,,,,
2020-02-16,1.8,0.0,6.3999999999999995,-5.25,5.8,7.2,,,,,,,,
2020-02-17,2.4,0.0,11.4,-1.05,4.5,7.2,,,,,,,,
2020-02-18,2.8,0.0,13.649999999999999,1.65,9.4,12.1,,,,,,,1.0,
2020-02-19,4.3,11.9,12.8,1.1500000000000001,9.4,12.5,,,,,,,,
2020-02-20,3.0,0.0,6.65,-1.9,9.4,11.6,,,,,,,,
