day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
2023-01-01,1.1,188.2,14.7,5.0,4.5,6.3,1.0,1.0,,,,,
2023-01-02,1.7,0.3,16.950000000000003,3.05,4.5,6.3,1.0,,,,,,
2023-01-03,4.4,0.0,18.9,6.65,9.4,13.9,,,,,,,
2023-01-04,3.4,3.4,18.85,10.55,7.2,10.3,,,,,,,
2023-01-05,1.9,1.7,17.5,6.95,6.3,8.9,1.0,,,,,,1.0
2023-01-06,4.4,4.6000000000000005,13.350000000000001,5.0,10.3,14.8,,,,,,,
2023-01-07,2.9,0.0,9.45,-0.75,7.2,11.2,,,,,,,
2023-01-08,1.9,0.0,6.95,-4.4,6.3,8.1,,,,,,,
2023-01-09,3.8,1.4,7.2,-3.3,10.3,14.3,,,,,,,
2023-01-10,0.8,0.0,8.600000000000001,-3.3,3.6,4.9,,,,,,,
2023-01-11,1.7,0.8,7.2,-4.4,6.3,8.5,1.0,,,,,,
2023-01-12,2.3,26.1,8.05,0.5500000000000003,6.7,8.9,1.0,,,,,,
2023-01-13,7.4,262.4,11.399999999999999,3.3499999999999996,12.5,17.0,1.0,,,,,,
2023-01-14,8.4,6.6,5.85,-1.05,11.2,17.0,,,,,,,
2023-01-15,6.4,0.3,3.9000000000000004,-2.7,10.3,15.7,,,,,,,
2023-01-16,2.9,0.0,9.2,-2.45,6.7,9.8,,,,,,,
2023-01-17,1.5,7.3,9.7,0.25000000000000006,4.5,5.8,1.0,1.0,,,,,
2023-01-18,3.8,47.8,11.1,3.6,9.8,13.4,1.0,,,,,,
2023-01-19,1.9,3.4000000000000004,10.0,3.9,5.4,7.6,1.0,,,,,,
2023-01-20,6.0,42.0,8.35,3.9,14.3,23.7,1.0,1.0,,,,,
2023-01-21,3.6,0.0,7.25,-0.7500000000000001,7.2,9.8,,,,,,,
2023-01-22,1.7,4.3,4.7,-3.0,5.4,7.2,1.0,,,1.0,,,
2023-01-23,6.5,209.5,6.1000000000000005,0.5499999999999999,13.9,19.2,1.0,,,,,,
2023-01-24,1.7,9.6,8.65,-2.45,6.3,8.1,,,,,,,
2023-01-25,2.5,11.7,7.5,-1.9000000000000001,8.9,13.0,1.0,,,1.0,,,
2023-01-26,3.4,357.7,7.25,0.30000000000000004,10.3,13.4,1.0,1.0,,,,,
2023-01-27,3.0,0.3,7.5,-3.0,8.9,11.2,,,,,,,
2023-01-28,3.6,0.0,9.45,-1.9,7.2,9.4,,,,,,,
2023-01-29,3.1,1.3,10.25,1.95,6.7,10.7,,,,,,,
2023-01-30,1.2,36.6,11.7,3.05,5.8,7.6,1.0,,,,,,
2023-01-31,3.2,6.8999999999999995,11.4,2.5,8.1,12.1,1.0,,,,,,1.0
2023-02-01,3.1,144.79999999999998,5.0,-2.1500000000000004,7.6,10.7,1.0,,,,,,
2023-02-02,2.0,4.6,3.9,-3.55,5.8,8.5,,,,,,,
2023-02-03,8.1,0.0,3.5999999999999996,-4.6499999999999995,14.8,20.6,,,,,,,
2023-02-04,3.8,0.0,1.4000000000000001,-10.8,7.6,11.2,,,,,,,
2023-02-05,5.0,0.0,6.65,-5.8,8.1,11.6,,,,,,,
2023-02-06,5.1,0.0,12.25,-0.25000000000000006,10.3,14.3,,,,,,,
2023-02-07,2.2,0.0,10.85,-3.8,7.2,10.3,,,,,,,
2023-02-08,1.7,0.0,14.149999999999999,0.5500000000000003,6.7,12.5,,,,,,,
2023-02-09,4.0,0.0,19.75,4.7,10.7,16.5,,,,,,,
2023-02-10,6.3,0.0,18.85,6.65,11.2,16.1,,,,,,,
